rewire_id,post,true_label,n_triples_retrieved,kg_context,explanation,Relevance,Consistency,Usefulness
sexism2022_english-1869,Success = gril lets you piss on her Women love by being a pickmeisha. Men love by remembering her birthday.,3. animosity,3,"-(women, EXPRESSED_ANIMOSITY_TOWARDS, less successful)(relevance: 0.4427715539932251)
-(women, STEREOTYPED_AS, picky)(relevance: 0.4417267441749573)
-(women, FRAMED_AS_INFERIOR, success)(relevance: 0.43634364008903503)","The post exhibits animosity by framing women as ""pickmeisha"" and suggesting their love is conditional and transactional (""gril lets you piss on her""). This aligns with the knowledge graph's identification of ""women, STEREOTYPED_AS, picky,"" and ""women, FRAMED_AS_INFERIOR, success"" by contrasting superficial acts of affection with genuine success. The derogatory framing and implied lack of genuine affection demonstrate hostility towards women.",2,2,2
sexism2022_english-3392,"Just have 0% body fat & dehydrated bro. Ricels not gauntmaxxing = volcel. holding ghoul frame theory's legit. I try contribute I'm no incel or got a pussy, sorry but rather me sorry than you sorry lads x",3. animosity,3,"-(mangina, FRAMED_AS_INFERIOR, has a screw loose)(relevance: 0.3522987365722656)
-(you, STEREOTYPED_AS, ugly fat bindi whore)(relevance: 0.34512874484062195)
-(you, EXPRESSED_ANIMOSITY_TOWARDS, daft fat cunt)(relevance: 0.3203895092010498)","The post exhibits animosity through aggressive and derogatory language directed at ""you"" and implicitly at those perceived as ""ricels"" or ""volcels."" Phrases like ""daft fat cunt"" (similar to the knowledge graph relation ""you, EXPRESSED_ANIMOSITY_TOWARDS, daft fat cunt"") and the overall dismissive tone suggest a hostile attitude rather than a neutral observation. The exclusion of ""incel or got a pussy"" further reinforces an antagonistic stance by creating an ""us vs. them"" dynamic.",1,1,1
sexism2022_english-6934,This whore deserves to be shot to death. Women have no control. I hope someone shoots her to death in jail before she goes to trial. UK has the most fucked up feminist society.,"1. threats, plans to harm and incitement",3,"-(women, THREATENED_WITH, public execution)(relevance: 0.6034752130508423)
-(women, THREATENED_WITH, rape and murder)(relevance: 0.592445969581604)
-(women, THREATENED_WITH, capital punishment)(relevance: 0.5886154770851135)","The post clearly falls under ""1. threats, plans to harm and incitement"" due to direct calls for violence. Phrases like ""deserves to be shot to death"" and ""I hope someone shoots her to death"" explicitly express a desire for fatal harm, aligning with the knowledge graph relations of women being threatened with public execution and capital punishment. The sentiment of wishing harm upon an individual directly constitutes a threat.",3,3,3
sexism2022_english-8739,"""...and kill their women and then get away with it scoff-free because sanctuary cities will treat us like first-class citizens in need of special protection from the big bad evil Cheeto Hitler DRUMPFFFFF.""","1. threats, plans to harm and incitement",3,"-(mayoress, FRAMED_AS_INFERIOR, sheltering criminals)(relevance: 0.4411253333091736)
-(femi nazi, FRAMED_AS_INFERIOR, anti freedom)(relevance: 0.3772205710411072)
-(""commie race traitor bitch"", THREATENED_WITH, ""fucked to death"")(relevance: 0.3676115572452545)","The post explicitly uses the phrase ""and kill their women"" which directly denotes a threat of violence and harm. While the knowledge graph doesn't contain an exact match for this phrase, the relation ""THREATENED_WITH, 'fucked to death'"" indicates a pattern of violent language being categorized under this sexism type. The subsequent mention of ""sanctuary cities will treat us like first-class citizens"" coupled with the derogatory term ""DRUMPFFFFF"" could be interpreted as inciting a negative sentiment that could lead to harmful actions, though the direct threat is the primary driver for classification.",1,2,2
sexism2022_english-19443,Can't hit girls though......but.... a c@#t punt might be an idea..,"1. threats, plans to harm and incitement",3,"-(women, THREATENED_WITH, cunt punt)(relevance: 0.5142819285392761)
-(women, THREATENED_WITH, kick in the balls)(relevance: 0.42115268111228943)
-(women, THREATENED_WITH, hit today)(relevance: 0.3792409896850586)","The post is classified under ""1. threats, plans to harm and incitement"" due to the phrase ""a c@#t punt"". This phrase directly aligns with the knowledge graph relation (women, THREATENED_WITH, cunt punt), indicating a threat of physical harm. The preceding ""Can't hit girls though......but...."" further contextualizes this as an expression of violent intent towards women, even while acknowledging a perceived limitation.",3,3,3
sexism2022_english-6741,Out of boredom I decided to read quite a few of the posts from cheeky monkey. My wife and I can't decide whether it's 1. A teenage girl or 2. Just a cunt I know it's possible to be both but I'm guessing it's 1 and my wife says 2.,3. animosity,3,"-(ugly girl, EXPRESSED_ANIMOSITY_TOWARDS, monkey)(relevance: 0.4423854351043701)
-(women, EXPRESSED_ANIMOSITY_TOWARDS, monkey-branching)(relevance: 0.4338633120059967)
-(girls, STEREOTYPED_AS, cunts)(relevance: 0.41938966512680054)","The post exhibits ""animosity"" through the use of derogatory terms like ""cunt"" to describe the target of the post. This aligns with the knowledge graph relation ""(girls, STEREOTYPED_AS, cunts)"", indicating a pattern of animosity towards young women using such insults. The phrase ""just a cunt"" directly expresses contempt and hostility, fitting the definition of animosity.",3,3,3
sexism2022_english-16578,"Well I never said that the girls are goody goody church choir girls, but they aren't your typical slut. They are open to hooking up but not to just anyone... ya know, ""normal"" girls hahaha I'm in HS btw so that plays a part.",2. derogation,3,"-(catholic girls, STEREOTYPED_AS, sluts)(relevance: 0.5836268663406372)
-(christian girls, STEREOTYPED_AS, sluts)(relevance: 0.559252142906189)
-(religious girls, STEREOTYPED_AS, slut)(relevance: 0.5502234697341919)","This post is classified under ""derogation"" because it employs disparaging stereotypes about young women's sexual behavior. The phrase ""they aren't your typical slut"" directly invokes and contrasts with the derogatory stereotype that religious girls (as seen in the knowledge graph context: ""religious girls, STEREOTYPED_AS, slut"") are promiscuous, thus derogating them by implying a potentially negative sexual reputation. The subsequent qualification that they ""are open to hooking up but not to just anyone"" further reinforces this by categorizing them within a spectrum of sexual availability that still hints at negative judgment.",2,3,3
sexism2022_english-4193,"They have no problem shouting us down over ""not understanding the female experience,"" yet they have no issue telling us precisely what we need. The world has gone topsy fucking turvy.",4. prejudiced discussions,3,"-(women, FRAMED_AS_INFERIOR, not understanding men's needs)(relevance: 0.6111876964569092)
-(women, FRAMED_AS_INFERIOR, understanding struggles)(relevance: 0.5997399687767029)
-(women, FRAMED_AS_INFERIOR, incapable of meaningful conversation)(relevance: 0.5791969895362854)","The post exhibits prejudiced discussion by framing ""women"" as hypocritical and manipulative. The phrase ""not understanding the female experience"" is weaponized to dismiss counterarguments, while simultaneously claiming ""they have no issue telling us precisely what we need,"" implying women are unreasonable and demanding. This aligns with the knowledge graph's depiction of women being framed as inferior in their understanding and their communication being dismissed.",3,3,3
sexism2022_english-14830,you seem concerned.....she started flirting with a guy right in front of him. she deserved to be kicked off a cliff. You should try that sometime. It's hilarious. I'm sure the next white knight gave her a ride without a blink.,"1. threats, plans to harm and incitement",3,"-(her, THREATENED_WITH, a cross)(relevance: 0.5016250014305115)
-(her, THREATENED_WITH, public hanging)(relevance: 0.48260846734046936)
-(her, THREATENED_WITH, somebody kills)(relevance: 0.4678371846675873)","The post clearly falls under ""threats, plans to harm and incitement"" due to the direct suggestion of violence against the woman. The phrase ""she deserved to be kicked off a cliff"" is a direct threat of harm, aligning with the knowledge graph's identification of ""somebody kills"" as a relevant threat. Furthermore, the incitement is present in the phrase ""You should try that sometime,"" encouraging the recipient to enact similar violent actions.",3,3,3
sexism2022_english-1296,Somebody be guilt trippin' and projecting at the same time. It's women's fault he's a bitter asshole!,2. derogation,3,"-(women, FRAMED_AS_INFERIOR, blame men)(relevance: 0.5625787973403931)
-(women, STEREOTYPED_AS, bitter and alone)(relevance: 0.5607402324676514)
-(women, STEREOTYPED_AS, angry and bitter)(relevance: 0.553074300289154)","This post exemplifies ""derogation"" by framing ""women"" as inherently ""bitter"" and assigning them blame, aligning with the knowledge graph's identification of ""women, FRAMED_AS_INFERIOR, blame men"" and ""women, STEREOTYPED_AS, bitter and alone"". Phrases like ""guilt trippin'"", ""projecting"", and calling the subject a ""bitter asshole"" are used to derogatorily characterize both women and the man, suggesting a negative emotional state and assigning blame, thus demeaning both parties.",3,3,3
sexism2022_english-6107,The kikes must be destroyed & women kept the fuck out of politics. 2 very hard to achieve but absolutely necessary things.,4. prejudiced discussions,3,"-(feminism, EXPRESSED_ANIMOSITY_TOWARDS, filthy kike feminism)(relevance: 0.6214969158172607)
-(pussy whites, EXPRESSED_ANIMOSITY_TOWARDS, kikes)(relevance: 0.5670803189277649)
-(women, FRAMED_AS_INFERIOR, incapable of managing nuclear power)(relevance: 0.5155628323554993)","The post falls under ""4. prejudiced discussions"" due to its explicit hate speech and discriminatory statements. The phrase ""The kikes must be destroyed"" clearly aligns with the knowledge graph's relation of ""EXPRESSED_ANIMOSITY_TOWARDS"" towards ""kikes,"" indicating prejudiced discourse. Similarly, ""women kept the fuck out of politics"" demonstrates prejudice by suggesting women are unfit for political roles, echoing the sentiment of ""women, FRAMED_AS_INFERIOR.""",2,2,1
sexism2022_english-16193,"And you can bet money on it, she will receive no prison time as a punishment for her fake rape allegation. Judge will say she as ""mental issues"" and she needs help.",4. prejudiced discussions,3,"-(this woman, THREATENED_WITH, rape)(relevance: 0.6152119636535645)
-(ex-girlfriend, ASSIGNED_TO_ROLE, false rape claim)(relevance: 0.6024074554443359)
-(ex wife, IDEOLOGICALLY_DISCREDITED, claim of rape)(relevance: 0.5786441564559937)","This post falls under ""4. prejudiced discussions"" because it expresses a prejudiced belief that women make ""fake rape allegations"" and are treated leniently by the justice system. The phrases ""fake rape allegation"" directly align with the knowledge graph relations like ""(ex-girlfriend, ASSIGNED_TO_ROLE, false rape claim)"", demonstrating a pre-existing bias against such claims. The prediction that the judge will cite ""mental issues"" further reinforces this prejudiced narrative, implying a dismissive and biased approach towards victims of sexual assault.",3,3,3
sexism2022_english-2738,It is highly unlikely that female on male rape will ever be taken seriously. It's Bunker Hill.,4. prejudiced discussions,3,"-(females, FRAMED_AS_INFERIOR, potential rapists)(relevance: 0.5578144192695618)
-(female, ASSIGNED_TO_ROLE, rape)(relevance: 0.553834855556488)
-(women, IDEOLOGICALLY_DISCREDITED, using rape for social climbing)(relevance: 0.551386296749115)","This post exemplifies prejudiced discussions by framing ""female on male rape"" as inherently unbelievable and dismissed. The phrase ""It's Bunker Hill"" dismisses the severity of the topic, akin to the historical battle where a decisive defeat was assumed. This aligns with the knowledge graph's identification of females being ""FRAMED_AS_INFERIOR"" and potentially ""ASSIGNED_TO_ROLE, rape,"" suggesting a prejudiced view that diminishes the possibility or seriousness of such an event when perpetrated by women.",1,3,2
sexism2022_english-4494,"wymyn shouldn't be allowed to vote, let alone hold political office or be on SCOTUS",4. prejudiced discussions,3,"-(women, ASSIGNED_TO_ROLE, not allowed to vote)(relevance: 0.46184444427490234)
-(women, ASSIGNED_TO_ROLE, having the vote)(relevance: 0.414983868598938)
-(women, ASSIGNED_TO_ROLE, not allowed in politics)(relevance: 0.40846675634384155)","The post explicitly states that ""wymyn shouldn't be allowed to vote,"" directly aligning with the knowledge graph relation ""(women, ASSIGNED_TO_ROLE, not allowed to vote)"". Furthermore, the exclusion from ""political office or be on SCOTUS"" echoes the concept of ""(women, ASSIGNED_TO_ROLE, not allowed in politics)"". These phrases demonstrate prejudiced assumptions about women's capabilities and their right to participate in public life, making it a clear example of prejudiced discussion.",3,3,3
sexism2022_english-6795,Don't run away like a little [jewish] girl.,3. animosity,3,"-(jewish women, STEREOTYPED_AS, disgusting)(relevance: 0.5489878058433533)
-(jewish women, STEREOTYPED_AS, opportunistic non-white status claimants)(relevance: 0.531863808631897)
-(jewish democrat, STEREOTYPED_AS, dumbest things on the planet)(relevance: 0.4946260154247284)","The post expresses animosity by associating cowardice with Jewish women, implying they are inherently fearful and untrustworthy. This aligns with the knowledge graph's identification of negative stereotypes like ""disgusting"" and ""opportunistic non-white status claimants"" applied to Jewish women, contributing to the hateful and contemptuous sentiment categorized as animosity. The phrase ""like a little [jewish] girl"" directly weaponizes this prejudiced stereotype to insult and demean.",1,1,2
sexism2022_english-17052,I cope with it like I'm imagining punching her in the face.,"1. threats, plans to harm and incitement",3,"-(her face, THREATENED_WITH, dick slap)(relevance: 0.5090436339378357)
-(bitch, THREATENED_WITH, punch)(relevance: 0.4900338053703308)
-(her, THREATENED_WITH, whipping until eyes are swollen shut)(relevance: 0.47268033027648926)","The post ""I cope with it like I'm imagining punching her in the face"" is classified under ""1. threats, plans to harm and incitement"" because the phrase ""punching her in the face"" directly indicates a plan to inflict physical harm. This aligns with the knowledge graph context showing similar posts where targets are ""THREATENED_WITH, punch,"" suggesting a pattern of violent intent expressed through imagined or explicit actions.",3,3,3
sexism2022_english-4921,"perform FGM on the two doctors female family members, see how they like it. Old Time Tribal Brutality #ShariaLaw","1. threats, plans to harm and incitement",3,"-(women, ASSIGNED_TO_ROLE, feminazi bullshit)(relevance: 0.4162447452545166)
-(feminist doctor, STEREOTYPED_AS, killing patients)(relevance: 0.3970748782157898)
-(white women, FRAMED_AS_INFERIOR, need for #whitesharia)(relevance: 0.3720337748527527)","The post explicitly advocates for performing Female Genital Mutilation (FGM) on specific individuals (""perform FGM on the two doctors female family members""), directly constituting a threat and plan to harm. The phrase ""Old Time Tribal Brutality"" and the hashtag ""#ShariaLaw"" invoke harmful cultural practices often associated with violence against women, aligning with the general theme of women being subjected to brutal treatment as seen in the provided knowledge graph (e.g., ""white women, FRAMED_AS_INFERIOR"").",1,2,2
sexism2022_english-15575,Meh- women in 2018 are pure cancer. Don't even touch them with a 12 foot barge pole.,2. derogation,3,"-(feminism, FRAMED_AS_INFERIOR, cancer)(relevance: 0.5047659873962402)
-(feminists, IDEOLOGICALLY_DISCREDITED, cancer)(relevance: 0.48807239532470703)
-(female, FRAMED_AS_INFERIOR, medical treatments not funded)(relevance: 0.4516051709651947)","This post is classified under ""2. derogation"" because it uses highly negative and dehumanizing language to express contempt for women. The phrase ""pure cancer"" directly aligns with the knowledge graph relations like ""(feminism, FRAMED_AS_INFERIOR, cancer)"" and ""(feminists, IDEOLOGICALLY_DISCREDITED, cancer),"" suggesting women are framed as something harmful and undesirable. The subsequent advice to ""Don't even touch them with a 12 foot barge pole"" further reinforces this derogatory sentiment by implying extreme revulsion and a desire for complete separation.",2,3,2
sexism2022_english-18709,I'm so sick of women hitting the wall. I'm getting a sex doll. They never do.,2. derogation,3,"-(women, STEREOTYPED_AS, hit the wall)(relevance: 0.6589190363883972)
-(women, FRAMED_AS_INFERIOR, hit her wall)(relevance: 0.5890237092971802)
-(women, STEREOTYPED_AS, post wall)(relevance: 0.5714656114578247)","The post is classified as ""derogation"" because it expresses contempt and belittlement towards women. The phrase ""women hitting the wall"" directly leverages the stereotype that women experience a decline in attractiveness or desirability with age, as indicated by the knowledge graph relation (women, STEREOTYPED_AS, hit the wall). By contrasting this perceived negative trait of women with the supposed perfection of a sex doll, the post implicitly devalues women and reduces them to a physical state.",3,3,3
sexism2022_english-19869,"CRAZY BIMBO IS BACK! White Uncle Tom: Rachel Dolezal says she's ""Trans-Black."" Ugh, this dumb bitch! I thought society was through with her! [URL]",2. derogation,3,"-(white women, STEREOTYPED_AS, crazy)(relevance: 0.5420348644256592)
-(white woman, STEREOTYPED_AS, stupid)(relevance: 0.5207587480545044)
-(white female, STEREOTYPED_AS, white race's greatest enemy)(relevance: 0.5038594007492065)","This post is classified under ""derogation"" because it uses offensive and demeaning language to attack the individual. Phrases like ""CRAZY BIMBO"" and ""dumb bitch"" directly insult the person's intelligence and character, aligning with the knowledge graph's associations of ""crazy"" and ""stupid"" with white women. The overall tone is one of contempt and dismissal, aiming to belittle the subject.",3,3,3
sexism2022_english-10304,People have no problems with a female lead. They got problems with them shoving down bullshit PC/SJW down their throats. Disney already ruined Star Wars Marvel is just next on the list.,4. prejudiced discussions,3,"-(women, FRAMED_AS_INFERIOR, lead us on)(relevance: 0.5055814981460571)
-(strong characters, ASSIGNED_TO_ROLE, women)(relevance: 0.4866083562374115)
-(women, FRAMED_AS_INFERIOR, leading shows poorly)(relevance: 0.4786792993545532)","This post exemplifies ""prejudiced discussions"" by framing female leads negatively, aligning with the relation ""(women, FRAMED_AS_INFERIOR, leading shows poorly)"". Phrases like ""shoving down bullshit PC/SJW"" and ""Disney already ruined Star Wars"" suggest a prejudiced view that female-led content is inherently problematic and associated with undesirable agendas, rather than being judged on its own merits.",3,3,3
sexism2022_english-11886,You've seduced a girl before right? Just do the same thing with her without the kissing. Pull ya dick out and make er suck for god sakes,"1. threats, plans to harm and incitement",3,"-(women, THREATENED_WITH, kiss)(relevance: 0.47009944915771484)
-(girls, EXPRESSED_ANIMOSITY_TOWARDS, finding a pussy to bang)(relevance: 0.41534072160720825)
-(16 y/o girls, STEREOTYPED_AS, cock-ready)(relevance: 0.4153017997741699)","This post falls under ""1. threats, plans to harm and incitement"" because it explicitly details a plan of sexual assault. The phrase ""Pull ya dick out and make er suck"" directly describes a coercive sexual act, which constitutes incitement to harm. While not a direct threat of physical violence, the instruction to force someone into oral sex implies a disregard for consent and a plan to commit sexual assault, aligning with the category's focus on inciting harmful actions.",1,3,3
sexism2022_english-4370,Should have let her get hit. Stupid guy.,"1. threats, plans to harm and incitement",3,"-(woman, THREATENED_WITH, being hit)(relevance: 0.5816036462783813)
-(wife, THREATENED_WITH, being hit)(relevance: 0.5774402022361755)
-(women, THREATENED_WITH, being hit)(relevance: 0.5668132305145264)","The post ""Should have let her get hit. Stupid guy."" is classified under ""1. threats, plans to harm and incitement"" due to the explicit sentiment that harm should have occurred. The phrase ""let her get hit"" directly implies a wish for physical violence, aligning with the knowledge graph's observation that women are ""THREATENED_WITH being hit"" in similar sexist contexts. While not a direct threat by the poster, it expresses a desire for harm, fitting the category's scope.",3,3,3
sexism2022_english-10231,"When a girl gives you shit test, scare the shit out of her.","1. threats, plans to harm and incitement",3,"-(girls, EXPRESSED_ANIMOSITY_TOWARDS, shit test)(relevance: 0.7293407917022705)
-(women, EXPRESSED_ANIMOSITY_TOWARDS, shit test)(relevance: 0.6657418012619019)
-(hotter girls, EXPRESSED_ANIMOSITY_TOWARDS, shit test more)(relevance: 0.6365695595741272)","The post is classified under ""threats, plans to harm and incitement"" because it explicitly advocates for harmful action. The phrase ""scare the shit out of her"" is a direct threat of psychological harm. This is reinforced by the knowledge graph context, which shows a strong association between ""girls"" and ""shit test"" with ""expressed animosity,"" suggesting that the post is inciting a hostile reaction to perceived ""shit tests"" from girls.",1,3,3
sexism2022_english-7803,Step on her head and shoot her! That is the only way to rid society of these creeps.,"1. threats, plans to harm and incitement",3,"-(her, THREATENED_WITH, gun)(relevance: 0.4846850633621216)
-(her, THREATENED_WITH, somebody kills)(relevance: 0.4755929410457611)
-(her ass, THREATENED_WITH, gunned down in the streets)(relevance: 0.46347159147262573)","The post clearly falls under ""1. threats, plans to harm and incitement"" due to its explicit calls for violence. Phrases like ""Step on her head and shoot her!"" directly communicate a plan to inflict harm, aligning with relations like ""her, THREATENED_WITH, gun"" and ""her, THREATENED_WITH, somebody kills"" from the knowledge graph. The directive nature of the language, particularly ""That is the only way to rid society of these creeps,"" further solidifies its classification as incitement to harm.",3,3,3
sexism2022_english-12260,How does one learn how to choke a women? I assume there is an art to it? Is it that you're depriving blood to the brain more so than choking the windpipe?,"1. threats, plans to harm and incitement",3,"-(women, THREATENED_WITH, choke)(relevance: 0.6558550596237183)
-(women, THREATENED_WITH, choking)(relevance: 0.5724847912788391)
-(women, THREATENED_WITH, choke-slam)(relevance: 0.5370117425918579)","The post explicitly asks ""How does one learn how to choke a women?"", which directly aligns with the knowledge graph relations indicating that women are ""THREATENED_WITH choke"" and ""THREATENED_WITH choking"". The detailed, almost instructional nature of the question, focusing on the mechanics of choking, strongly suggests an intent to learn how to inflict harm, thus falling under the ""threats, plans to harm"" category.",3,3,3
